sifra,naziv,razina
01.25.33,Lješnjaci,5
01.25.34,Pistacije,5
01.25.35,Orasi,5
01.25.39,"Orašasti plodovi, d. n.",5
01.25.9,"Ostalo bobičasto i orašasto voće i ostalo voće, d. n.",4
01.25.90,"Ostalo bobičasto i orašasto voće i ostalo voće, d. n.",5
01.26,Uljani plodovi,3
01.26.1,Masline,4
01.26.11,Stolne masline,5
01.26.12,Masline za proizvodnju maslinova ulja,5
01.26.2,Kokosovi orasi,4
01.26.20,Kokosovi orasi,5
01.26.3,Ostali uljani plodovi,4
01.26.30,Ostali uljani plodovi,5
01.27,Usjevi za pripremanje napitaka,3
01.27.0,Usjevi za pripremanje napitaka,4
01.27.01,"Kava u zrnu, nepržena",5
01.27.02,"Čaj, u listovima",5
01.27.03,"Mate-čaj, u listovima",5
01.27.04,Kakao u zrnu,5
01.27.09,"Usjevi za pripremanje napitaka, d. n.",5
01.28,"Začinsko, aromatsko, ljekovito bilje i bilje za uporabu u farmaciji",3
01.28.1,"Začini, neprerađeni",4
01.28.11,"Papar (vrsta Piper), sirovi",5
01.28.12,"Muškatni oraščić, macis i kardamon, sirovi",5
01.28.13,"Anis, badijan, korijandar, kumin, kim, komorač i bobice kleke, sirovi",5
01.28.14,"Cimet, sirovi",5
01.28.15,"Klinčići (cijele peteljke), sirovi",5
01.28.16,"Đumbir, suhi, sirovi",5
01.28.17,"Vanilija, sirova",5
01.28.19,"Začini, neprerađeni, d. n.",5
01.28.2,Hmelj,4
01.28.20,Hmelj,5
01.28.3,"Bilje prvenstveno za uporabu u parfumeriji i farmaciji, za insekticide i fungicide i u slične svrhe",4
01.28.30,"Bilje prvenstveno za uporabu u parfumeriji i farmaciji, za insekticide i fungicide i u slične svrhe",5
01.29,Ostali višegodišnji usjevi,3
01.29.1,Prirodni kaučuk,4
01.29.10,Prirodni kaučuk,5
01.29.2,"Božićna drvca, rezana",4
01.29.20,"Božićna drvca, rezana",5
01.29.3,Biljni materijali prvenstveno za uporabu u pletarstvu ili za punjenje i postavljanje ili u bojanju i štavljenju,4
01.29.30,Biljni materijali prvenstveno za uporabu u pletarstvu ili za punjenje i postavljanje ili u bojanju i štavljenju,5
01.3,"Sadni materijal: živo bilje, lukovice, gomolji i korijenje, reznice i cijepovi; micelij gljiva",2
01.30,"Sadni materijal: živo bilje, lukovice, gomolji i korijenje, reznice i cijepovi; micelij gljiva",3
01.30.0,"Sadni materijal: živo bilje, lukovice, gomolji i korijenje, reznice i cijepovi; micelij gljiva",4
01.30.00,"Sadni materijal: živo bilje, lukovice, gomolji i korijenje, reznice i cijepovi; micelij gljiva",5
01.4,Žive životinje i proizvodi životinjskog podrijetla,2
01.41,"Mliječna goveda, živa; sirovo kravlje mlijeko",3
01.41.1,"Mliječna goveda, živa",4
01.41.10,"Mliječna goveda, živa",5
01.41.2,Sirovo kravlje mlijeko,4
01.41.20,Sirovo kravlje mlijeko,5
01.41.3,Sperma mliječnih pasmina goveda,4
01.41.30,Sperma mliječnih pasmina goveda,5
01.42,"Ostala goveda i bivoli, živi, i njihova sperma",3
01.42.1,"Ostala goveda i bivoli, živi",4
01.42.11,"Ostala goveda i bivoli, osim teladi, živi",5
01.42.12,"Telad goveda i bivola, živa",5
01.42.2,Sperma mesnih pasmina goveda,4
01.42.20,Sperma mesnih pasmina goveda,5
01.43,"Konji i drugi kopitari, živi",3
01.43.0,"Konji i drugi kopitari, živi",4
01.43.01,"Konji, živi",5
01.43.02,"Magarci, mule i mazge, živi",5
01.44,"Deve i ljame, žive",3
01.44.0,"Deve i ljame, žive",4
01.44.00,"Deve i ljame, žive",5
01.45,"Ovce i koze, žive; sirovo ovčje i kozje mlijeko i šišana ovčja i kozja vuna",3
01.45.1,"Ovce i koze, žive",4
01.45.11,"Ovce, žive",5
01.45.12,"Koze, žive",5
01.45.2,Sirovo ovčje i kozje mlijeko,4
01.45.21,Sirovo ovčje mlijeko,5
01.45.22,Sirovo kozje mlijeko,5
01.45.3,"Šišana ovčja i kozja vuna, masna",4
01.45.30,"Šišana ovčja i kozja vuna, masna",5
01.46,"Svinje, žive",3
01.46.0,"Svinje, žive",4
01.46.00,"Svinje, žive",5
01.47,"Perad, živa, i jaja",3
01.47.1,"Perad, živa",4
01.47.11,"Kokoši, žive",5
01.47.12,"Purani, živi",5
01.47.13,"Guske, žive",5
01.47.14,"Patke i biserke, žive",5
01.47.15,"Ostala perad, živa",5
01.47.2,"Jaja u ljusci, svježa",4
01.47.21,"Kokošja jaja u ljusci, svježa",5
01.47.22,"Jaja ostale peradi, u ljusci, svježa",5
01.47.23,Kokošja jaja za rasplod,5
01.47.24,Jaja ostale peradi za rasplod,5
01.48,Ostale životinje i proizvodi životinjskog podrijetla,3
01.48.1,"Ostale životinje, žive",4
01.48.11,"Zečevi, živi",5
01.48.12,"Ostale ptice, žive",5
01.48.13,"Gmazovi, živi",5
01.48.14,"Pčele, žive",5
01.48.19,"Ostale životinje, žive, d. n.",5
01.48.2,Ostali proizvodi od uzgojenih životinja,4
01.48.21,Prirodni med,5
01.48.22,Ostalo sirovo mlijeko,5
01.48.23,"Puževi, svježi, hlađeni, zamrznuti, sušeni, soljeni ili u salamuri, osim morskih puževa",5
01.48.24,Ostali jestivi proizvodi od uzgojenih životinja,5
01.48.25,Čahure dudova svilca prikladne za odmotavanje,5
01.48.26,"Voskovi od insekata i spermaceti, rafinirani ili nerafinirani, obojeni ili neobojeni",5
01.48.27,Životinjski embriji za razmnožavanje,5
01.48.28,Ostali nejestivi proizvodi od uzgojenih životinja,5
01.48.3,Sirove kože s dlakom ili vunom i ostale sirove kože bez dlake,4
01.48.31,"Sirove kože s dlakom ili s vunom, osim janjeće kože",5
01.48.32,Sirove janjeće kože s dlakom ili s vunom,5
01.48.33,Ostale sirove kože,5
01.6,Usluge u poljoprivredi i uzgoju životinja,2
01.61,Pomoćne usluge za uzgoj usjeva,3
01.61.0,Pomoćne usluge za uzgoj usjeva,4
01.61.00,Pomoćne usluge za uzgoj usjeva,5
01.62,Pomoćne usluge za uzgoj životinja; usluge pripreme stajskoga gnoja i gnojnica za proizvodnju energije,3
01.62.0,Pomoćne usluge za uzgoj životinja; usluge pripreme stajskoga gnoja i gnojnica za proizvodnju energije,4
01.62.01,Pomoćne usluge za uzgoj životinja,5
01.62.02,Usluge pripreme stajskoga gnoja i gnojnica za proizvodnju energije,5
01.63,Usluge nakon žetve usjeva i dorada sjemena za sjemenski materijal; usluge pripreme silažnog bilja za proizvodnju energije,3
01.63.0,Usluge nakon žetve usjeva i dorada sjemena za sjemenski materijal; usluge pripreme silažnog bilja za proizvodnju energije,4
01.63.01,Usluge koje se pružaju nakon žetve usjeva i dorada sjemena za sjemenski materijal,5
01.63.02,Usluge pripreme silažnog bilja za proizvodnju energije,5
01.7,"Lov, stupičarenje i usluge povezane s njima",2
01.70,"Lov, stupičarenje i usluge povezane s njima",3
01.70.0,"Lov, stupičarenje i usluge povezane s njima",4
01.70.00,"Lov, stupičarenje i usluge povezane s njima",5
02,Proizvodi šumarstva i sječe drva te usluge povezane s njima,1
02.1,Usluge uzgoja i rasadnika šumskog drveća,2
02.10,Usluge uzgoja i rasadnika šumskog drveća,3
02.10.1,Sadnice i sjemenje šumskog drveća,4
02.10.11,Sadnice šumskog drveća,5
02.10.12,Sjemenje šumskog drveća,5
02.10.2,Usluge rasadnika šumskog drveća,4
02.10.20,Usluge rasadnika šumskog drveća,5
02.10.3,Šumsko drveće,4
02.10.30,Šumsko drveće,5
02.2,Grubo obrađeno drvo,2
02.20,Grubo obrađeno drvo,3
02.20.0,Grubo obrađeno drvo,4
02.20.01,Trupci četinjača,5
02.20.02,Trupci tropskog drveća,5
02.20.03,Trupci ostalih listača,5
02.20.04,Ogrjevno drvo četinjača,5
02.20.05,Ogrjevno drvo listača,5
02.3,"Samonikli plodovi i proizvodi, osim drva",2
02.30,"Samonikli plodovi i proizvodi, osim drva",3
02.30.1,Prirodne gume,4
02.30.11,"Balata, gutaperka, gvajala, čikl i slične prirodne gume",5
02.30.12,"Šelak, balzami i ostale prirodne gume i smole",5
02.30.2,"Prirodno pluto, sirovo ili jednostavno obrađeno",4
02.30.20,"Prirodno pluto, sirovo ili jednostavno obrađeno",5
02.30.3,"Dijelovi bilja, trave, mahovine i lišaji prikladni za ukrašavanje",4
02.30.30,"Dijelovi bilja, trave, mahovine i lišaji prikladni za ukrašavanje",5
02.30.4,Jestivi samonikli plodovi i proizvodi,4
02.30.40,Jestivi samonikli plodovi i proizvodi,5
02.4,Pomoćne usluge u šumarstvu,2
02.40,Pomoćne usluge u šumarstvu,3
02.40.0,Pomoćne usluge u šumarstvu,4
02.40.00,Pomoćne usluge u šumarstvu,5
03,Ribe i ostali proizvodi ribarstva; proizvodi akvakulture; pomoćne usluge u ribarstvu,1
03.0,Ribe i ostali proizvodi ribarstva; proizvodi akvakulture; pomoćne usluge u ribarstvu,2
03.00,Ribe i ostali proizvodi ribarstva; proizvodi akvakulture; pomoćne usluge u ribarstvu,3
03.00.1,Žive ribe koji nisu prikladne za ljudsku prehranu,4
03.00.11,"Ukrasne ribe, neuzgojene",5
03.00.12,"Ukrasne ribe, uzgojene",5
03.00.13,Ostale neuzgojene žive ribe koji nisu prikladne za ljudsku prehranu,5
03.00.14,Ostale uzgojene žive ribe koji nisu prikladne za ljudsku prehranu,5
03.00.2,"Žive ribe, svježe ili hlađene, za ljudsku prehranu",4
03.00.21,"Žive ribe, svježe ili hlađene, za ljudsku prehranu, morske, neuzgojene",5
03.00.22,"Žive ribe, svježe ili hlađene, za ljudsku prehranu, slatkovodne, neuzgojene",5
03.00.23,"Žive ribe, svježe ili hlađene, za ljudsku prehranu, morske, uzgojene",5
03.00.24,"Žive ribe, svježe ili hlađene, za ljudsku prehranu, slatkovodne, uzgojene",5
03.00.3,"Rakovi, nezamrznuti",4
03.00.31,"Rakovi, nezamrznuti, neuzgojeni",5
03.00.32,"Rakovi, nezamrznuti, uzgojeni",5
03.00.4,"Mekušci i ostali vodeni beskralježnjaci, živi, svježi ili ohlađeni",4
03.00.41,"Kamenice, žive, svježe ili hlađene, neuzgojene",5
03.00.42,"Drugi mekušci, živi, svježi ili hlađeni, neuzgojeni",5
03.00.43,"Kamenice, žive, svježe ili ohlađene, uzgojene",5
03.00.44,"Drugi mekušci, živi, svježi ili ohlađeni, uzgojeni",5
03.00.45,"Ostali vodeni beskralježnjaci, živi, svježi ili hlađeni, uzgojeni",5
03.00.46,"Ostali vodeni beskralježnjaci, živi, svježi ili hlađeni, neuzgojeni",5
03.00.5,"Biseri, neobrađeni",4
03.00.51,"Prirodni biseri, neobrađeni",5
03.00.52,"Kultivirani biseri, neobrađeni",5
