sifra,naziv,razina
20.41.9,"Podugovarateljski poslovi kao dio proizvodnje sapuna i deterdženata, sredstava za čišćenje i poliranje",4
20.41.99,"Podugovarateljski poslovi kao dio proizvodnje sapuna i deterdženata, sredstava za čišćenje i poliranje",5
20.42,Parfemi i toaletno-kozmetički preparati,3
20.42.1,Parfemi i toaletno-kozmetički preparati,4
20.42.11,Parfemi i toaletne vode,5
20.42.12,Proizvodi za šminkanje usana i očiju,5
20.42.13,Preparati za manikiranje ili pedikiranje,5
20.42.14,Puderi za kozmetičku ili toaletnu uporabu,5
20.42.15,Ostala dekorativna kozmetika i preparati za njegu kože,5
20.42.16,"Šamponi, lakovi za kosu, preparati za trajno kovrčanje i ispravljanje kose",5
20.42.17,Ostali losioni i ostali preparati za kosu,5
20.42.18,"Preparati za usnu i zubnu higijenu, konac za čišćenje zubi",5
20.42.19,"Preparati za brijanje; dezodoransi za osobnu uporabu i preparati protiv znojenja; preparati za kupanje; ostali parfimerijski, kozmetički i toaletni preparati, d. n.",5
20.42.9,Podugovarateljski poslovi kao dio proizvodnje parfema i toaletno-kozmetičkih preparata,4
20.42.99,Podugovarateljski poslovi kao dio proizvodnje parfema i toaletno-kozmetičkih preparata,5
20.5,Ostali kemijski proizvodi,2
20.51,Tekuća biogoriva,3
20.51.1,Tekuća biogoriva,4
20.51.10,Tekuća biogoriva,5
20.51.9,Podugovarateljski poslovi kao dio proizvodnje tekućih biogoriva,4
20.51.99,Podugovarateljski poslovi kao dio proizvodnje tekućih biogoriva,5
20.59,"Ostali kemijski proizvodi, d. n.",3
20.59.1,Fotografske ploče i filmovi te samorazvijajući filmovi; kemijski preparati i nemiješani proizvodi za fotografsku uporabu,4
20.59.11,"Fotografske ploče i filmovi, te samorazvijajući filmovi, osjetljivi, neeksponirani; fotopapir",5
20.59.12,Fotografske emulzije osjetljive na svjetlost; ostali kemijski preparati za fotografsku uporabu,5
20.59.2,"Životinjske ili biljne masti i ulja, kemijski modificirani; nejestive mješavine životinjskih ili biljnih masti i ulja",4
20.59.20,"Životinjske ili biljne masti i ulja, kemijski modificirani; nejestive mješavine životinjskih ili biljnih masti i ulja",5
20.59.3,Tuševi i tinte za pisanje i crtanje te ostale tinte,4
20.59.30,Tuševi i tinte za pisanje i crtanje te ostale tinte,5
20.59.4,Preparati za podmazivanje; aditivi; antifriz,4
20.59.41,Preparati za podmazivanje,5
20.59.42,Antidetonatorski preparati; aditivi za mineralna ulja i slični proizvodi,5
20.59.43,Tekućina za hidraulične kočnice; antifriz i preparati za odleđivanje,5
20.59.5,Raznovrsni kemijski proizvodi,4
20.59.51,"Ostali peptoni, ostale bjelančevinaste tvari i njihovi derivati; kožni prah",5
20.59.52,Mase za modeliranje; zubni vosak te drugi preparati za uporabu u zubarstvu na osnovi gipsa; preparati i punila za aparate za gašenje požara; pripremljene podloge za razvoj mikroorganizama; ostali dijagnostički i laboratorijski reagensi,5
20.59.53,Kemijski elementi u obliku diskova i kemijski spojevi dopirani za uporabu u elektronici,5
20.59.54,Aktivni ugljen,5
20.59.55,"Sredstva za doradu, nosači boja, sredstva za ubrzavanje i fiksiranje boja te slični proizvodi",5
20.59.56,Preparati za luženje (dekapiranje) metala; talitelji; pripremljeni ubrzivači vulkanizacije za gumu; složeni plastifikatori i stabilizatori za gumu i plastiku; ostali katalitički preparati; ostali miješani alkilbenzeni i miješani alkilnaftaleni,5
20.59.57,Pripremljena vezivna sredstva za ljevaoničke kalupe ili jezgre; kemijski proizvodi,5
20.59.59,"Raznovrsni ostali kemijski proizvodi, d. n.",5
20.59.6,Želatina i derivati želatine; ljepila,4
20.59.61,Želatina i derivati želatine,5
20.59.62,Ljepila,5
20.59.7,Eterična ulja,4
20.59.70,Eterična ulja,5
20.59.8,Eksplozivi,4
20.59.81,Barut i pripremljeni eksplozivi,5
20.59.82,Sigurnosni (sporogoreći) štapini; detonirajući štapini; kapsule; upaljači; električni detonatori,5
20.59.83,Pirotehnički proizvodi za vatromet,5
20.59.84,"Signalne rakete, rakete protiv tuče, za signalizaciju u magli i drugi pirotehnički proizvodi",5
20.59.85,Šibice,5
20.59.9,"Podugovarateljski poslovi kao dio proizvodnje ostalih kemijskih proizvoda, d. n.",4
20.59.99,"Podugovarateljski poslovi kao dio proizvodnje ostalih kemijskih proizvoda, d. n.",5
20.6,Umjetna vlakna,2
20.60,Umjetna vlakna,3
20.60.1,Sintetička vlakna,4
20.60.11,"Sintetička rezana vlakna i kablovi, negrebenani i nečešljani",5
20.60.12,"Pređa od sintetičkih filamenata, velike čvrstoće, od poliamida i poliestera",5
20.60.13,"Pređa od ostalih sintetičkih filamenata, jednonitna",5
20.60.14,"Sintetički monofilamenti; vrpce i slično, od sintetičkih tekstilnih materijala",5
20.60.2,Umjetna vlakna,4
20.60.21,"Umjetna rezana vlakna i kabeli, negrebenani i nečešljani",5
20.60.22,"Pređa od umjetnih filamenata, velike čvrstoće, od viskoze",5
20.60.23,"Pređa od ostalih umjetnih filamenata, jednonitna",5
20.60.24,"Umjetni monofilament; vrpce i slično, od umjetnih tekstilnih materijala",5
20.60.9,Podugovarateljski poslovi kao dio proizvodnje umjetnih vlakana,4
20.60.99,Podugovarateljski poslovi kao dio proizvodnje umjetnih vlakana,5
21,Osnovni farmaceutski proizvodi i farmaceutski pripravci,1
21.1,Osnovni farmaceutski proizvodi,2
21.10,Osnovni farmaceutski proizvodi,3
21.10.1,"Salicilna kiselina, O-acetilsalicilna kiselina, njihove soli i esteri",4
21.10.10,"Salicilna kiselina, O-acetilsalicilna kiselina, njihove soli i esteri",5
21.10.2,"Lizin, glutaminska kiselina i njihove soli; kvarterne amonijeve soli i hidroksidi; fosfoaminolipidi; amidi, njihovi derivati i soli",4
21.10.20,"Lizin, glutaminska kiselina i njihove soli; kvarterne amonijeve soli i hidroksidi; fosfoaminolipidi; amidi, njihovi derivati i soli",5
21.10.3,"Ostali laktoni, heterociklički spojevi samo s heteroatomom ili heteroatomima dušika, koji u strukturi sadržavaju nekondenzirani pirazolov prsten, pirimidinov prsten, piperazinov prsten, nekondenzirani triazinov prsten ili sustav fenatiazinovih prstena dalje nekondenziranih; hidantion i njegovi derivati; sulfonamidi",4
21.10.31,"Ostali laktoni, heterociklički spojevi samo s heteroatomom ili heteroatomima dušika, koji u strukturi sadržavaju nekondenzirani pirazolov prsten, pirimidinov prsten, piperazinov prsten, nekondenzirani triazinov prsten ili sustav fenatiazinovih prstena dalje nekondenziranih; hidantion i njegovi derivati",5
21.10.32,Sulfonamidi,5
21.10.4,"Ostali šećeri, kemijski čisti; ostali šećerni eteri i esteri te njihove soli",4
21.10.40,"Ostali šećeri, kemijski čisti; ostali šećerni eteri i esteri te njihove soli",5
21.10.5,"Provitamini, vitamini i hormoni; glikozidi i biljni alkaloidi i njihovi derivati; antibiotici",4
21.10.51,"Provitamini, vitamini i njihovi derivati",5
21.10.52,Hormoni i njihovi derivati; ostali steroidi koji se primarno koriste kao hormoni,5
21.10.53,"Glikozidi, biljni alkaloidi, njihove soli, eteri, esteri i ostali derivati",5
21.10.54,Antibiotici,5
21.10.6,Žlijezde i ostali organi; njihovi ekstrakti i ostale tvari ljudskog ili životinjskog podrijetla,4
21.10.60,Žlijezde i ostali organi; njihovi ekstrakti i ostale tvari ljudskog ili životinjskog podrijetla,5
21.10.9,Podugovarateljski poslovi kao dio proizvodnje osnovnih farmaceutskih proizvoda,4
21.10.99,Podugovarateljski poslovi kao dio proizvodnje osnovnih farmaceutskih proizvoda,5
21.2,Farmaceutski pripravci,2
21.20,Farmaceutski pripravci,3
21.20.1,Lijekovi,4
21.20.11,Lijekovi koji sadržavaju peniciline ili druge antibiotike,5
21.20.12,"Lijekovi koji sadržavaju hormone, ali ne antibiotike",5
21.20.19,"Lijekovi, d. n.",5
21.20.2,Ostali farmaceutski pripravci,4
21.20.21,Antiserumi i cjepiva,5
21.20.22,Kemijska sredstva za kontracepciju na osnovi hormona ili spermicida,5
21.20.23,Dijagnostički reagensi i ostali farmaceutski pripravci,5
21.20.24,"Ljepljivi zavoji, kirurški katgut i slični proizvodi; kutije za prvu pomoć",5
21.20.9,Podugovarateljski poslovi kao dio proizvodnje farmaceutskih pripravaka,4
21.20.99,Podugovarateljski poslovi kao dio proizvodnje farmaceutskih pripravaka,5
22,Proizvodi od gume i plastike,1
22.1,Proizvodi od gume,2
22.11,Vanjske i unutarnje gume (zračnice); protektiranje i obnova vanjskih i unutarnjih guma,3
22.11.1,Nove vanjske i unutarnje gume (zračnice),4
22.11.11,"Nove vanjske pneumatske gume, za motorna vozila",5
22.11.12,"Nove vanjske pneumatske gume, za bicikle i motocikle",5
22.11.13,"Nove vanjske pneumatske gume, za autobuse, kamione i zrakoplove",5
22.11.14,Vanjske gume za poljoprivredna vozila; ostale nove vanjske pneumatske gume,5
22.11.15,"Unutarnje gume, pune gume ili gume sa zračnim komorama, zamjenjivi gumeni dijelovi vanjskih guma",5
22.11.16,Profilirane vrpce sa šarama za protektiranje vanjskih guma,5
22.11.2,Protektirane pneumatske vanjske gume,4
22.11.20,Protektirane pneumatske vanjske gume,5
22.11.9,Podugovarateljski poslovi kao dio proizvodnje vanjskih i unutarnjih guma (zračnica); protektiranje i obnova vanjskih i unutarnjih guma,4
22.11.99,Podugovarateljski poslovi kao dio proizvodnje vanjskih i unutarnjih guma (zračnica); protektiranje i obnova vanjskih i unutarnjih guma,5
22.12,Ostali proizvodi od gume,3
22.12.1,"Regenerirana guma u primarnim oblicima ili u pločama, listovima ili trakama",4
22.12.10,"Regenerirana guma u primarnim oblicima ili u pločama, listovima ili trakama",5
22.12.2,"Nevulkanizirana guma i proizvodi od nevulkanizirane gume; vulkanizirana guma, osim tvrde gume, u nitima, kordu, pločama, listovima, trakama, šipkama i profilima",4
22.12.20,"Nevulkanizirana guma i proizvodi od nevulkanizirane gume; vulkanizirana guma, osim tvrde gume, u nitima, kordu, pločama, listovima, trakama, šipkama i profilima",5
22.12.3,"Cijevi i crijeva od vulkanizirane gume, osim od tvrde gume",4
22.12.30,"Cijevi i crijeva od vulkanizirane gume, osim od tvrde gume",5
22.12.4,"Pogonsko i transportno remenje, od vulkanizirane gume",4
22.12.40,"Pogonsko i transportno remenje, od vulkanizirane gume",5
22.12.5,"Gumirani tekstilni proizvodi, osim od gumenog korda",4
22.12.50,"Gumirani tekstilni proizvodi, osim od gumenog korda",5
22.12.6,"Odjevni predmeti i pribor za odjeću od vulkanizirane gume, osim od tvrde gume",4
22.12.60,"Odjevni predmeti i pribor za odjeću od vulkanizirane gume, osim od tvrde gume",5
22.12.7,Ostali proizvodi od vulkanizirane gume; tvrda guma; proizvodi od tvrde gume,4
22.12.71,"Higijenski ili farmaceutski proizvodi, od vulkanizirane gume, osim od tvrde gume",5
22.12.72,"Podni pokrivači i prostirke, od vulkanizirane gume, osim od pjenaste gume",5
22.12.73,"Ostali raznovrsni proizvodi od vulkanizirane gume; tvrda guma u svim oblicima i njezini proizvodi; podni pokrivači i prostirke, od vulkanizirane pjenaste gume",5
22.12.9,Podugovarateljski poslovi kao dio proizvodnje ostalih proizvoda od gume,4
22.12.99,Podugovarateljski poslovi kao dio proizvodnje ostalih proizvoda od gume,5
22.2,Proizvodi od plastike,2
22.21,"Ploče, listovi, cijevi i profili od plastike",3
22.2,"1.1Monofilamenti presjeka > 1 mm, šipke, štapovi i profilni oblici, od plastike",2
22.2,"1.10Monofilamenti presjeka > 1 mm, šipke, štapovi i profilni oblici, od plastike",2
22.21.2,"Cijevi, crijeva i njihov pribor, od plastike",4
22.21.21,"Umjetna crijeva od skrućenih bjelančevina ili celuloznih materijala; krute cijevi i crijeva, od plastike",5
22.21.22,"Ostale cijevi, crijeva i pribor od plastike",5
22.21.3,"Ploče, listovi, filmovi, folije i vrpce, od plastike necelularne strukture, nepojačani, laminirani, pojačani ili slično kombinirani s drugim materijalima",4
22.21.30,"Ploče, listovi, filmovi, folije i vrpce, od plastike necelularne strukture, nepojačani, laminirani, pojačani ili slično kombinirani s drugim materijalima",5
22.21.4,"Ostale ploče, listovi, filmovi, folije i vrpce od plastike",4
22.2,"1.41Samoljepljive ploče, listovi, filmovi, folije, vrpce, trake i drugi ravni oblici, od plastike, u rolama širine ≤ 20 cm",2
22.21.42,"Ostale samoljepljive ploče, listovi, filmovi, folije, vrpce, trake i drugi ravni oblici, od plastike",5
22.21.43,"Ostale ploče, listovi, filmovi, folije i vrpce od plastike, celularne strukture",5
22.21.44,"Ostale ploče, listovi, filmovi, folije i vrpce od plastike, necelularne strukture",5
22.21.9,"Podugovarateljski poslovi kao dio proizvodnje ploča, listova, cijevi i profila od plastike",4
22.21.99,"Podugovarateljski poslovi kao dio proizvodnje ploča, listova, cijevi i profila od plastike",5
22.22,Ambalaža od plastike,3
22.22.1,Ambalaža od plastike,4
22.22.11,"Vreće i vrećice, od polimera etilena",5
22.22.12,"Vreće i vrećice, od ostale plastike, osim od polimera etilena",5
22.22.13,"Kutije, sanduci, gajbe i slični proizvodi, od plastike",5
22.22.14,"Baloni, boce, bočice i slični proizvodi, od plastike",5
22.22.19,"Ambalaža od plastike, d. n.",5
22.22.9,Podugovarateljski poslovi kao dio proizvodnje ambalaže od plastike,4
22.22.99,Podugovarateljski poslovi kao dio proizvodnje ambalaže od plastike,5
22.23,"Vrata, prozori i njihovi okviri te pragovi za vrata; rolete, kapci i slični proizvodi te njihovi dijelovi, od plastike",3
22.23.1,"Vrata, prozori i njihovi okviri te pragovi za vrata; rolete, kapci i slični proizvodi te njihovi dijelovi, od plastike",4
22.23.10,"Vrata, prozori i njihovi okviri te pragovi za vrata; rolete, kapci i slični proizvodi te njihovi dijelovi, od plastike",5
22.23.9,"Podugovarateljski poslovi kao dio proizvodnje vrata, prozora i njihovih okvira te pragova za vrata; roleta, kapaka i sličnih proizvoda te njihovih dijelova, od plastike",4
22.23.99,"Podugovarateljski poslovi kao dio proizvodnje vrata, prozora i njihovih okvira te pragova za vrata; roleta, kapaka i sličnih proizvoda te njihovih dijelova, od plastike",5
22.24,Proizvodi od plastike za građevinarstvo,3
22.24.1,"Obloge za pod, zid ili strop od plastike i tvrdog materijala osim plastike, spremnici i sanitarni proizvodi, od plastike",4
22.24.11,"Obloge za pod, zid ili strop od plastike, u rolama ili pločicama",5
22.24.12,"Linoleum i podni prekrivači od drugih materijala osim od plastike, tj. čvrste podne obloge od vinila, linoleuma itd.",5
22.24.13,"Kade, umivaonici, zahodske školjke i poklopci, vodokotlići i slični sanitarni proizvodi, od plastike",5
22.2,"4.14Rezervoari, cisterne, bačve i slični spremnici, kapaciteta > 300 l, od plastike",2
22.24.19,"Proizvodi od plastike za građevinarstvo, d. n.",5
22.24.2,"Montažne zgrade, od plastike",4
22.24.20,"Montažne zgrade, od plastike",5
22.24.9,Podugovarateljski poslovi kao dio proizvodnje proizvoda od plastike za građevinarstvo,4
22.24.99,Podugovarateljski poslovi kao dio proizvodnje proizvoda od plastike za građevinarstvo,5
22.25,Usluge obrade i dovršavanja proizvoda od plastike,3
22.25.0,Usluge obrade i dovršavanja proizvoda od plastike,4
22.25.00,Usluge obrade i dovršavanja proizvoda od plastike,5
22.26,Ostali proizvodi od plastike,3
22.26.1,"Odjeća i pribor za odjeću, od plastike",4
22.26.10,"Odjeća i pribor za odjeću, od plastike",5
22.26.2,"Ostali proizvodi od plastike, d. n.",4
22.26.21,"Stolno i kuhinjsko posuđe, te ostali predmeti za kućanstvo i toaletne potrebe, od plastike",5
22.26.22,"Ostali dijelovi za svjetiljke i rasvjetna tijela, osvijetljene pločice s imenima i slično, od plastike",5
22.26.23,"Uredski i školski pribor, od plastike",5
22.26.24,"Pribor za namještaj, karoserije i slično, od plastike; figurice i ostali ukrasni predmeti, od plastike",5
22.26.25,Ostali predmeti od plastike,5
22.26.9,Usluge proizvodnje ostalih proizvoda od plastike; podugovarateljski poslovi kao dio proizvodnje ostalih proizvoda od plastike,4
22.26.91,Usluge proizvodnje ostalih proizvoda od plastike,5
22.26.99,Podugovarateljski poslovi kao dio proizvodnje ostalih proizvoda od plastike,5
23,Ostali nemetalni mineralni proizvodi,1
23.1,Staklo i proizvodi od stakla,2
23.11,Ravno staklo,3
23.11.1,Ravno staklo,4
23.11.11,"Lijevano, valjano, vučeno ili puhano staklo, u obliku ploča, ali drugačije neobrađeno",5
23.11.12,"Float-staklo i površinski brušeno ili polirano staklo, u obliku ploča, drugačije neobrađeno ili nearmirano",5
23.11.9,Podugovarateljski poslovi kao dio proizvodnje ravnog stakla,4
23.11.99,Podugovarateljski poslovi kao dio proizvodnje ravnog stakla,5
23.12,Oblikovano i obrađeno ravno staklo,3
23.12.1,"Oblikovano i obrađeno ravno staklo, osim višeslojnih izolacijskih panela od stakla",4
23.12.11,"Staklo u obliku ploča, savijeno, s obrađenim rubovima, gravirano, brušeno, emajlirano ili drugačije obrađeno, ali neuokvireno i nesastavljeno",5
23.12.12,Sigurnosno staklo,5
23.12.13,"Staklena zrcala, uokvirena ili neuokvirena",5
23.12.14,"Float-staklo i površinski brušeno ili polirano staklo, u obliku ploča, nearmirano i s apsorpcijskim, reflektirajućim ili nereflektirajućim slojem, ali drugačije neobrađeno",5
23.12.2,Višeslojni izolacijski paneli od stakla,4
23.12.20,Višeslojni izolacijski paneli od stakla,5
23.12.9,Podugovarateljski poslovi kao dio proizvodnje oblikovanog i obrađenog ravnog stakla,4
23.12.99,Podugovarateljski poslovi kao dio proizvodnje oblikovanog i obrađenog ravnog stakla,5
23.13,Šuplje staklo,3
23.13.1,Šuplje staklo,4
23.13.11,"Boce, staklenke, bočice i druga ambalaža od stakla, osim ampula; čepovi, poklopci i ostali zatvarači, od stakla",5
23.13.12,"Čaše za piće, osim keramičkih",5
23.13.13,"Proizvodi od stakla za uporabu za stolom, u kuhinji, u uredima, za unutarnju dekoraciju, za toaletnu uporabu i slično",5
23.13.14,Ulošci od stakla za termos-boce i druge vakuumske posude,5
23.13.9,Usluge dovršavanja šupljeg stakla; podugovarateljski poslovi kao dio proizvodnje šupljeg stakla,4
23.13.91,Usluge dovršavanja čaša za piće i drugih proizvoda od stakla za uporabu za stolom ili u kuhinji,5
23.13.92,Usluge dovršavanja ambalaže od stakla,5
23.13.99,Podugovarateljski poslovi kao dio proizvodnje šupljeg stakla,5
23.14,Staklena vlakna,3
23.14.1,Staklena vlakna,4
23.14.11,"Trake, roving, pređa i sječene niti, od staklenih vlakana",5
23.14.12,"Voali, mreže, mat, hasure, ploče i ostali predmeti od staklenih vlakana, osim tkanina",5
23.14.9,Podugovarateljski poslovi kao dio proizvodnje staklenih vlakana,4
23.14.99,Podugovarateljski poslovi kao dio proizvodnje staklenih vlakana,5
23.15,Ostalo obrađeno staklo,3
23.15.1,Ostalo obrađeno polugotovo staklo,4
23.15.11,"Staklo u masi, kuglama (osim neobrađenih staklenih kuglica), šipkama i cijevima, neobrađeno",5
23.15.12,"Stakleni blokovi, opeke, pločice i ostali proizvodi od prešanog ili lijevanog stakla; olovom uokvirena prozorska okna i slično; multicelularno ili pjenasto staklo u blokovima, pločama ili slično",5
23.15.2,Ostalo tehničko staklo i proizvodi od stakla,4
23.15.21,"Stakleni omotači, otvoreni, i njihovi stakleni dijelovi za električne svjetiljke, katodne cijevi i slično",5
23.15.22,"Staklo za satove i naočale, optički neobrađeno; izdubljena sferna stakla i njihovi segmenti za proizvodnju takvih stakala",5
23.15.23,"Proizvodi od stakla za laboratorijsku, higijensku i farmaceutsku uporabu; staklene ampule",5
23.15.24,"Stakleni dijelovi za svjetiljke i rasvjetna tijela, osvijetljene znakove i pločice s imenima i slično",5
23.15.25,"Električni izolatori, od stakla",5
23.15.29,"Ostalo tehničko staklo i proizvodi od stakla, d. n.",5
23.15.9,Usluge dovršavanja ostalog stakla; podugovarateljski poslovi kao dio proizvodnje ostalog obrađenog stakla,4
23.15.91,Usluge dovršavanja ostalog stakla,5
23.15.99,Podugovarateljski poslovi kao dio proizvodnje ostalog obrađenog stakla,5
23.2,Vatrostalni proizvodi,2
23.20,Vatrostalni proizvodi,3
23.20.1,Vatrostalni proizvodi,4
23.20.11,"Opeka, blokovi, pločice i ostali keramički proizvodi od silikatnoga fosilnog brašna ili zemlje",5
23.20.12,"Vatrostalna opeka, blokovi, pločice i slični vatrostalni keramički proizvodi za građevinarstvo, osim od silikatnoga fosilnog brašna ili zemlje",5
23.20.13,"Ostali vatrostalni cementi, žbuke, betoni i slične vatrostalne mješavine",5
23.20.14,Nepečeni vatrostalni proizvodi i ostali vatrostalni keramički proizvodi,5
23.20.9,Podugovarateljski poslovi kao dio proizvodnje vatrostalnih proizvoda,4
23.20.99,Podugovarateljski poslovi kao dio proizvodnje vatrostalnih proizvoda,5
23.3,Proizvodi od gline za građevinarstvo,2
23.31,Keramičke pločice i ploče,3
23.31.1,Keramičke pločice i ploče,4
23.31.10,Keramičke pločice i ploče,5
23.31.9,Podugovarateljski poslovi kao dio proizvodnje keramičkih pločica i ploča,4
23.31.99,Podugovarateljski poslovi kao dio proizvodnje keramičkih pločica i ploča,5
23.32,"Opeka, crjepovi i proizvodi od pečene gline za građevinarstvo",3
23.32.1,"Opeka, crjepovi i proizvodi od pečene gline za građevinarstvo",4
23.32.11,"Nevatrostalna keramička građevinska opeka, blokovi za podove, nosivi elementi ili ispuni i slično",5
23.32.12,"Crjepovi, dimnjaci, poklopci za dimnjake, dimovodne cijevi, arhitektonski ukrasi i drugi keramički proizvodi za građevinarstvo",5
23.32.13,"Keramičke cijevi, odvodi, žljebovi i pribor za cijevi",5
23.32.9,"Podugovarateljski poslovi kao dio proizvodnje opeke, crijepa i proizvoda od pečene gline za građevinarstvo",4
23.32.99,"Podugovarateljski poslovi kao dio proizvodnje opeke, crijepa i proizvoda od pečene gline za građevinarstvo",5
23.4,Ostali proizvodi od porculana i keramike,2
23.41,Keramički proizvodi za kućanstvo i ukrasni predmeti,3
23.41.1,Keramički proizvodi za kućanstvo i ukrasni predmeti,4
23.41.11,"Stolno i kuhinjsko posuđe, ostali predmeti za uporabu u kućanstvu i u toaletne svrhe, od porculana",5
23.41.12,"Stolno i kuhinjsko posuđe, ostali predmeti za uporabu u kućanstvu i u toaletne svrhe, osim od porculana",5
23.41.13,Figurice i drugi ukrasni keramički predmeti,5
23.41.9,Podugovarateljski poslovi kao dio proizvodnje keramičkih proizvoda za kućanstvo i ukrasnih predmeta,4
23.41.99,Podugovarateljski poslovi kao dio proizvodnje keramičkih proizvoda za kućanstvo i ukrasnih predmeta,5
23.42,Sanitarna keramika,3
23.42.1,Sanitarna keramika,4
23.42.10,Sanitarna keramika,5
23.42.9,Podugovarateljski poslovi kao dio proizvodnje sanitarne keramike,4
23.42.99,Podugovarateljski poslovi kao dio proizvodnje sanitarne keramike,5
23.43,Keramički izolatori i izolacijski pribor,3
23.43.1,Keramički izolatori i izolacijski pribor,4
23.43.10,Keramički izolatori i izolacijski pribor,5
23.43.9,Podugovarateljski poslovi kao dio proizvodnje keramičkih izolatora i izolacijskog pribora,4
23.43.99,Podugovarateljski poslovi kao dio proizvodnje keramičkih izolatora i izolacijskog pribora,5
23.44,Ostali tehnički proizvodi od keramike,3
23.44.1,Ostali tehnički proizvodi od keramike,4
23.44.11,"Keramički proizvodi za laboratorijsku, kemijsku i ostalu tehničku uporabu, od porculana",5
23.44.12,"Keramički proizvodi za laboratorijsku, kemijsku i ostalu tehničku uporabu, osim od porculana",5
23.44.9,Podugovarateljski poslovi kao dio proizvodnje ostalih tehničkih proizvoda od keramike,4
23.44.99,Podugovarateljski poslovi kao dio proizvodnje ostalih tehničkih proizvoda od keramike,5
23.45,Ostali proizvodi od keramike,3
23.45.1,Ostali proizvodi od keramike,4
23.45.11,"Keramički proizvodi za uporabu u poljoprivredi, za prenošenje i pakiranje robe",5
23.45.19,"Ostali keramički proizvodi, osim za građevinarstvo, d. n.",5
23.45.9,Podugovarateljski poslovi kao dio proizvodnje ostalih proizvoda od keramike,4
23.45.99,Podugovarateljski poslovi kao dio proizvodnje ostalih proizvoda od keramike,5
23.5,"Cement, vapno i gips",2
23.51,Cement,3
23.51.1,Cement,4
23.51.11,Cementni klinker,5
23.51.12,"Portland-cement, aluminatni cement, metalurški cement i slični hidraulični cementi",5
23.51.9,Podugovarateljski poslovi kao dio proizvodnje cementa,4
23.51.99,Podugovarateljski poslovi kao dio proizvodnje cementa,5
23.52,Vapno i gips,3
23.52.1,"Živo vapno, gašeno vapno i hidraulično vapno",4
23.52.10,"Živo vapno, gašeno vapno i hidraulično vapno",5
23.52.2,Gips,4
23.52.20,Gips,5
23.52.3,Kalcinirani ili aglomerirani dolomit,4
23.52.30,Kalcinirani ili aglomerirani dolomit,5
23.52.9,Podugovarateljski poslovi kao dio proizvodnje vapna i gipsa,4
23.52.99,Podugovarateljski poslovi kao dio proizvodnje vapna i gipsa,5
23.6,"Proizvodi od betona, cementa i gipsa",2
23.61,Proizvodi od betona za građevinarstvo,3
23.61.1,Proizvodi od betona za građevinarstvo,4
23.61.11,"Blokovi, ploče za popločavanje, opeka i slični proizvodi od cementa, betona ili umjetnog kamena",5
23.61.12,"Montažni građevni elementi za visokogradnju i niskogradnju od cementa, betona ili umjetnog kamena",5
23.61.2,Montažne zgrade od betona,4
23.61.20,Montažne zgrade od betona,5
23.61.9,Podugovarateljski poslovi kao dio proizvodnje proizvoda od betona za građevinarstvo,4
23.61.99,Podugovarateljski poslovi kao dio proizvodnje proizvoda od betona za građevinarstvo,5
23.62,Proizvodi od gipsa za građevinarstvo,3
23.62.1,Proizvodi od gipsa za građevinarstvo,4
23.62.10,Proizvodi od gipsa za građevinarstvo,5
23.62.9,Podugovarateljski poslovi kao dio proizvodnje proizvoda od gipsa za građevinarstvo,4
23.62.99,Podugovarateljski poslovi kao dio proizvodnje proizvoda od gipsa za građevinarstvo,5
23.63,Gotova betonska smjesa,3
23.63.1,Gotova betonska smjesa,4
23.63.10,Gotova betonska smjesa,5
23.63.9,Podugovarateljski poslovi kao dio proizvodnje gotove betonske smjese,4
23.63.99,Podugovarateljski poslovi kao dio proizvodnje gotove betonske smjese,5
23.64,Žbuka,3
23.64.1,Žbuka,4
23.64.10,Žbuka,5
23.64.9,Podugovarateljski poslovi kao dio proizvodnje žbuke,4
23.64.99,Podugovarateljski poslovi kao dio proizvodnje žbuke,5
23.65,Proizvodi od fibrocementa,3
23.65.1,Proizvodi od fibrocementa,4
23.65.11,"Paneli, ploče i slično, od biljnih vlakana, slame i drvnih otpadaka, aglomeriranih mineralnim vezivima",5
23.65.12,"Proizvodi od azbestnog cementa, celuloznog fibrocementa i sličnih materijala",5
23.65.9,Podugovarateljski poslovi kao dio proizvodnje proizvoda od fibrocementa,4
23.65.99,Podugovarateljski poslovi kao dio proizvodnje proizvoda od fibrocementa,5
23.66,"Ostali proizvodi od betona, cementa i gipsa",3
23.66.1,"Ostali proizvodi od betona, cementa i gipsa",4
23.66.11,Proizvodi od gipsa ili mješavina s gipsom,5
23.66.12,"Ostali proizvodi od cementa, betona ili umjetnog kamena",5
23.66.9,"Podugovarateljski poslovi kao dio proizvodnje ostalih proizvoda od betona, cementa i gipsa",4
23.66.99,"Podugovarateljski poslovi kao dio proizvodnje ostalih proizvoda od betona, cementa i gipsa",5
23.7,"Rezani, oblikovani i obrađeni kamen",2
23.70,"Rezani, oblikovani i obrađeni kamen",3
23.70.1,"Rezani, oblikovani i obrađeni kamen",4
23.70.11,"Mramor, travertin, alabaster, obrađeni, i njihovi proizvodi (osim kamenih blokova, rubnjaka, ploča za popločavanje, crjepova, kamenih kocaka i sličnih proizvoda); umjetno obojene granule, odlomci ili prah od mramora, travertina i alabastera",5
